ID,이름,카테고리,설명,이동속도,주문 대기열 시간s (초과시 즉시 짜증내며 떠남),음식 대기열 시간s (초과시 즉시 짜증내며 떠남),손님 예민도(가게 만족도 반영),등장 요리,주문 요리(방문횟수 100),주문 요리(방문횟수 200),주문 요리(방문횟수 300),주문 요리(방문횟수 400),주문 요리(방문횟수 500),등장 최소 평점,등장 필요 가구,등장 필요 기념품,역할,손님 타입,추후 업데이트용_선호 설비(설비가 갖춰지면 금액을 지불하고 사용한다.)
CUSTOMER01,파니,기본,가게 바로 옆 건물에서 사는 판다. 주말마다 죽순 장사를 한다.,6,30,30,무난한 손님,FOOD01,FOOD04,FOOD08,FOOD12,FOOD16,FOOD20,,,,손님,CustomerType01,
CUSTOMER02,랑이,기본,작은 호랑이. 작은 키와 귀여운 얼굴 때문에 고양이로 많이들 착각하고는 한다.,6,25,25,예민한 손님,FOOD02,FOOD05,FOOD09,FOOD13,FOOD17,FOOD21,,,,손님,CustomerType01,
CUSTOMER03,여리,기본,구미호 수련생 도시 여우. 구미호가 되기 위해 마늘과 쑥만 3주 째 먹고 있다.,6,20,20,초예민 손님,FOOD03,FOOD06,FOOD10,FOOD14,FOOD18,FOOD22,15,,,손님,CustomerType04,
CUSTOMER04,밀키,기본,디저트 애호가. 디저트를 먹기 위해 체중 관리를 하다 보니 운동이 취미가 되었다.,6,30,30,무난한 손님,FOOD04,FOOD07,FOOD11,FOOD15,FOOD19,FOOD23,,,,손님,CustomerType01,
CUSTOMER05,토식이,기본,털 관리가 취미인 토끼. 아름다운 털결을 위해 싫어하는 채소를 열심히 먹는다.,6,30,30,무난한 손님,FOOD05,FOOD08,FOOD12,FOOD16,FOOD20,FOOD24,20,,,손님,CustomerType01,
CUSTOMER06,치키,기본,미니멀라이프 닭. 사실은 대기업 회장의 자식이라는 소문이 있다.,6,30,30,무난한 손님,FOOD06,FOOD09,FOOD13,FOOD17,FOOD21,FOOD25,,,,손님,CustomerType02,
CUSTOMER07,고돌이,기본,서당 개. 취미는 '학교를 빠지고 맛있는 걸 먹으러 가기' 이다.,6,30,30,무난한 손님,FOOD07,FOOD10,FOOD14,FOOD18,FOOD22,FOOD26,150,,,손님,CustomerType02,
CUSTOMER08,펭리,기본,추운 극지방에서 관광하러 온 펭귄. 뜨끈한 물에 들어가는 걸 좋아한다.,6,30,30,무난한 손님,FOOD08,FOOD11,FOOD15,FOOD19,FOOD23,FOOD27,,,,손님,CustomerType01,
CUSTOMER09,이삭,기본,인기쟁이 사슴. 매년 열리는 멋진 뿔 콘테스트에서 우수상을 받는다.,6,25,25,예민한 손님,FOOD09,FOOD12,FOOD16,FOOD20,FOOD24,FOOD28,,,,손님,CustomerType04,
CUSTOMER10,리오,기본,백수의 왕. 작년 부당 해고를 당한 뒤로 안정적인 직장을 찾는 중이다.,6,30,30,무난한 손님,FOOD10,FOOD13,FOOD17,FOOD21,FOOD25,FOOD29,200,,GOTCHA102,손님,CustomerType04,
CUSTOMER11,울리,기본,털이 복실한 양. 최근 털이 너무 빠져서 걱정이다.,6,30,30,무난한 손님,FOOD11,FOOD14,FOOD18,FOOD22,FOOD26,FOOD30,,,,손님,CustomerType05,
CUSTOMER12,코디,레어,배고픈 가을곰. 늘 옆구리에 꿀단지를 들고 다닌다.,6,30,30,무난한 손님,FOOD12,FOOD15,FOOD19,FOOD23,FOOD27,FOOD31,250,,,손님,CustomerType03,
CUSTOMER13,삼색이,레어,고등어 애호가 고양이. 고등어만 좋아한다.,6,25,25,예민한 손님,FOOD13,FOOD16,FOOD20,FOOD24,FOOD28,FOOD32,,,GOTCHA99,손님,CustomerType05,
CUSTOMER14,미오,레어,구미호 선생님. 여우 학교에서 어린 여우들을 가르치고 있다.,6,20,20,초예민 손님,FOOD14,FOOD17,FOOD21,FOOD25,FOOD29,FOOD33,,,GOTCHA97,손님,CustomerType01,
CUSTOMER15,흑우,레어,가출한 소. '누런 소가 검은 소 보다 일을 잘한다' 는 말을 듣고 토라져 가출했다.,6,30,30,무난한 손님,FOOD15,FOOD18,FOOD22,FOOD26,FOOD30,FOOD34,270,,GOTCHA96,손님,CustomerType01,
CUSTOMER16,레버,레어,외국에서 온 토끼. 한국 문화와 음식에 푹 빠져있다.,6,30,30,무난한 손님,FOOD16,FOOD19,FOOD23,FOOD27,FOOD31,FOOD35,,,,손님,CustomerType01,
CUSTOMER17,페코,레어,어린 병아리. 빨리 어른이 되고 싶어 앵무새의 깃털을 뽑아 머리에 붙였다.,6,30,30,무난한 손님,FOOD17,FOOD20,FOOD24,FOOD28,FOOD32,FOOD36,350,,,손님,CustomerType02,
CUSTOMER18,바둑이,레어,스트릿 출신 강아지. 요즘 흔히들 말하는 MZ 강아지이다.,6,30,30,무난한 손님,FOOD18,FOOD21,FOOD25,FOOD29,FOOD33,FOOD37,,,GOTCHA95,손님,CustomerType05,
CUSTOMER19,윙키,레어,이웃 뱁새. 가게 옥상에서 둥지를 틀고 살고 있다.,6,30,30,무난한 손님,FOOD19,FOOD22,FOOD26,FOOD30,FOOD34,FOOD38,,,,손님,CustomerType05,
CUSTOMER20,벨라,레어,겨울 순록. 따뜻한 해는 좋아하지만 뜨거운 여름은 싫어한다.,6,30,30,무난한 손님,FOOD20,FOOD23,FOOD27,FOOD31,FOOD35,FOOD39,,,,손님,CustomerType03,
CUSTOMER21,로어,레어,마니아 사자. 자신이 좋아하는 캐릭터 코스프레를 즐겨한다.,6,30,30,무난한 손님,FOOD21,FOOD24,FOOD28,FOOD32,FOOD36,FOOD40,380,,,손님,CustomerType02,
CUSTOMER22,라미,레어,겨울 털양. 벨라와 함께 추운 지방에서 도시로 올라왔다. 더운 걸 싫어한다.,6,30,30,무난한 손님,FOOD22,FOOD25,FOOD29,FOOD33,FOOD37,FOOD41,,,,손님,CustomerType03,
