ID,이름,속성,속성id,평점 증가,수입 증가 (계산대로 축적) 1분당,해제 최소 평점,구매 수단,가격
FLOWER01,싱그러운 화분,내추럴,SET01,5,2,0,코인,3000
FLOWER02,햇살 받은 화분,모던,SET02,15,4,100,코인,10000
FLOWER03,봉긋한 화분,빈티지,SET03,30,12,220,코인,45000
FLOWER04,정원의 화분,전통적,SET04,50,20,500,코인,100000
FLOWER05,양철 화분,내추럴,SET01,150,30,700,코인,200000
FLOWER06,단아한 화분,전통적,SET04,180,40,1000,코인,300000
FLOWER07,항이라 화분,내추럴,SET01,210,50,1800,코인,400000
FLOWER08,쌀쌀한 화분과 거울,빈티지,SET03,250,65,2500,코인,550000
FLOWER09,모노 그린 화분과 스피커,모던,SET02,260,70,2700,코인,590000
FLOWER10,하트 화분,모던,SET02,280,75,3000,코인,625000
FLOWER11,바나나 리프 ,트로피컬,SET05,0,42,0,다이아,10
FLOWER12,정원의 여백,빈티지,SET03,345,95,3900,코인,750000
FLOWER13,고요한 묘비,럭셔리,SET06,0,52,0,다이아,15
FLOWER14,포근한 수레,코지,SET07,0,60,0,다이아,20
FLOWER15,미니 야자수,트로피컬,SET05,600,140,7000,코인,1750000
FLOWER16,동그란 토피어리,럭셔리,SET06,650,160,15000,코인,1980000
FLOWER17,우산꽂이,코지,SET07,670,175,20000,코인,2100000
