ID,이름,속성,설명*,미니게임 필요,필요 아이템,해제 평점,해제 필요 기념품,레시피 구매 가격,lv.1 판매 가격,lv.1제작 시간(second),lv.2 강화 최소 평점,lv.2 강화 필요 아이템,lv.2 강화 필요 아이템 개수,lv.2 강화 필요 조건,lv.2 강화 가격,lv.2 판매 가격,lv.2제작 시간(second),속성 효과(식당 or 가구. 동일한 속성일시),속성 효과(모두
FOOD01,판다 주먹밥,내추럴,공인 판다 주먹밥\n모든 판다가 사랑하는 주먹밥,x,,x,x,x,100,2,250,레시피 강화 스크롤 (내추럴),1,,1600,1000,4,가격 10% 증가,가격 15% 증가
FOOD02,곶감과 우유,전통적,달달한 곶감과 부드러운 우유,x,,2,,100,120,3,290,레시피 강화 스크롤 (전통적),1,,2500,1500,6,가격 10% 증가,가격 15% 증가
FOOD03,떡볶이,빈티지,매콤달콤한 소스에 쫄깃한 떡이 가득한 대표 간식,x,,9,,400,140,4,320,레시피 강화 스크롤 (빈티지),1,,3000,1800,8,가격 10% 증가,가격 15% 증가
FOOD04,커스타드 푸딩,럭셔리,입안에서 부드럽게 녹아드는 달콤한 푸딩의 정석,x,,15,,900,160,6,360,레시피 강화 스크롤 (럭셔리),1,,5000,2000,10,가격 10% 증가,가격 15% 증가
FOOD05,아보카도 샐러드,내추럴,부드러운 아보카도와 신선한 채소의 건강한 만남,x,,25,,1000,200,8,400,레시피 강화 스크롤 (내추럴),1,,6000,3000,12,가격 10% 증가,가격 15% 증가
FOOD06,에그 샌드위치,모던,폭신한 빵 사이에 계란이 듬뿍 들어있는 클래식 샌드위치,x,,45,,1500,220,10,500,레시피 강화 스크롤 (모던),1,,7500,3600,14,가격 10% 증가,가격 15% 증가
FOOD07,소떡 소떡,빈티지,소시지와 떡이 번갈아 끼워진 중독성 강한 간식,x,,60,,2500,240,12,520,레시피 강화 스크롤 (빈티지),1,,8000,4500,16,가격 10% 증가,가격 15% 증가
FOOD08,김치 찌개,전통적,얼큰하고 깊은 맛이 일품인 소울 푸드,o,GOTCHA91,70,,2700,300,14,540,레시피 강화 스크롤 (전통적),1,,9000,4900,18,가격 10% 증가,가격 15% 증가
FOOD09,에그 토스트,코지,부드러운 계란과 고소한 버터향의 완벽한 조화,x,,90,,3000,340,16,590,레시피 강화 스크롤 (코지),1,,9500,5200,20,가격 10% 증가,가격 15% 증가
FOOD10,생선 소금 구이,내추럴,겉은 바삭 속은 촉촉하게 구워낸 담백한 생선 요리,o,GOTCHA92,110,,5000,700,18,620,레시피 강화 스크롤 (내추럴),1,,10000,5800,22,가격 10% 증가,가격 15% 증가
FOOD11,에그 샐러드,내추럴,신선한 채소 위에 촉촉한 계란이 듬뿍 들어간 샐러드,x,,120,,5500,750,20,650,레시피 강화 스크롤 (내추럴),1,,15000,8500,24,가격 10% 증가,가격 15% 증가
