ID,이름,속성,속성id,평점 증가,수입 증가(계산대로 축적)1분마다,해제 최소 평점,구매 수단,가격,배치 층
FRIDGE01,평범한 냉장고,내추럴,KITCHEN01,2,10,50,코인,6000,1층
FRIDGE02,철제 냉장고,모던,KITCHEN02,4,20,200,코인,15000,1층
FRIDGE03,메모지 냉장고,빈티지,KITCHEN03,8,30,400,코인,45000,1층
FRIDGE04,중식당 냉장고,전통적,KITCHEN04,16,40,1000,코인,100000,1층
FRIDGE05,베이지 투톤 냉장고,모던,KITCHEN02,180,60,1800,코인,220000,1층
FRIDGE06,고양이 쉼터 냉장고,전통적,KITCHEN04,210,88,2500,코인,350000,1층
FRIDGE07,시골집 냉장고,전통적,KITCHEN04,250,113,3200,코인,450000,1층
FRIDGE08,레트로 레드 냉장고,모던,KITCHEN02,420,225,6500,코인,900000,1층
FRIDGE09,크림 박스 냉장고,빈티지,KITCHEN03,480,275,8000,코인,1100000,1층
FRIDGE10,대용량 3단 냉장고,트로피컬,KITCHEN05,190,20,0,다이아,40,2층
FRIDGE11,세련된 양문 냉장고,럭셔리,KITCHEN06,250,40,0,다이아,80,2층
FRIDGE12,포근한 추억의 냉장고,코지,KITCHEN07,380,209,5850,코인,835000,1층
FRIDGE13,끼리 냉장코,내추럴,KITCHEN01,410,115,0,다이아,460,2층
FRIDGE14,숲의 나무 냉장고,내추럴,KITCHEN01,400,105,0,다이아,420,2층
FRIDGE15,시크 모던 냉장고,모던,KITCHEN02,350,63,0,다이아,250,2층
FRIDGE16,기지의 냉동 시스템,모던,KITCHEN02,680,300,0,다이아,1200,2층
FRIDGE17,아케이드 냉장고,빈티지,KITCHEN03,550,185,0,다이아,740,2층
FRIDGE18,기어 냉동 머신,빈티지,KITCHEN03,590,215,0,다이아,860,2층
FRIDGE19,잊혀진 냉장 기술,전통적,KITCHEN04,690,350,0,다이아,1400,2층
FRIDGE20,부족의 냉동고,전통적,KITCHEN04,590,210,0,다이아,840,2층
FRIDGE21,아기 상어 냉장고,트로피컬,KITCHEN05,710,450,0,다이아,1800,2층
FRIDGE22,선장님의 와인 저장고,트로피컬,KITCHEN05,550,185,0,다이아,740,2층
FRIDGE23,마법 포션 냉장고,럭셔리,KITCHEN06,590,210,0,다이아,840,2층
FRIDGE24,냉동 백작님,럭셔리,KITCHEN06,710,425,0,다이아,1700,2층
FRIDGE25,푹신한 냉장고,코지,KITCHEN07,490,145,0,다이아,580,2층
FRIDGE26,테이 베어 냉장고,코지,KITCHEN07,690,375,0,다이아,1500,2층
