ID,이름,속성,설명*,속성 효과(식당 or 가구. 동일한 속성일시),속성 효과(모두,미니게임 필요,필요 아이템,해제 평점,해제 필요 기념품,레시피 구매 가격,판매 가격,제작 시간(second),강화 필요 아이템
FOOD01,판다 주먹밥,내추럴,공인 판다 주먹밥\n모든 판다가 사랑하는 주먹밥,가격 10% 증가,가격 15% 증가,x,,x,x,x,100,8,
FOOD02,곶감과 우유,전통적,달달한 곶감과 부드러운 우유,가격 10% 증가,가격 15% 증가,x,,2,,100,120,12,
FOOD03,떡볶이,빈티지,매콤달콤한 소스에 쫄깃한 떡이 가득한 대표 간식,가격 10% 증가,가격 15% 증가,x,,9,,400,140,15,
FOOD04,커스타드 푸딩,럭셔리,입안에서 부드럽게 녹아드는 달콤한 푸딩의 정석,가격 10% 증가,가격 15% 증가,x,,15,,900,160,18,
FOOD05,아보카도 샐러드,내추럴,부드러운 아보카도와 신선한 채소의 건강한 만남,가격 10% 증가,가격 15% 증가,x,,60,,1000,200,24,
FOOD06,에그 샌드위치,모던,폭신한 빵 사이에 계란이 듬뿍 들어있는 클래식 샌드위치,가격 10% 증가,가격 15% 증가,x,,110,,1500,220,30,
FOOD07,소떡 소떡,빈티지,소시지와 떡이 번갈아 끼워진 중독성 강한 간식,가격 10% 증가,가격 15% 증가,x,,160,,2500,240,36,
FOOD08,김치 찌개,전통적,얼큰하고 깊은 맛이 일품인 소울 푸드,가격 10% 증가,가격 15% 증가,o,GOTCHA91,320,,2700,300,42,GOTCHA108
FOOD09,에그 토스트,코지,부드러운 계란과 고소한 버터향의 완벽한 조화,가격 10% 증가,가격 15% 증가,x,,360,,3000,340,48,
FOOD10,생선 소금 구이,내추럴,겉은 바삭 속은 촉촉하게 구워낸 담백한 생선 요리,가격 10% 증가,가격 15% 증가,o,GOTCHA92,650,,5000,700,54,GOTCHA105
FOOD11,에그 샐러드,내추럴,신선한 채소 위에 촉촉한 계란이 듬뿍 들어간 샐러드,가격 10% 증가,가격 15% 증가,x,,1000,,5500,750,60,
FOOD12,연어 회,럭셔리,신선한 연어 본연의 풍미를 느낄 수 있는 프리미엄 요리,가격 10% 증가,가격 15% 증가,x,,1300,,6000,800,66,
FOOD13,팬 케이크,코지,부드럽고 폭신하게 구워낸 달콤한 팬 케이크,가격 10% 증가,가격 15% 증가,x,,1750,,7500,1000,72,
FOOD14,라멘,전통적,진한 국물과 쫄깃한 면발이 어우러진 일본식 국수,가격 10% 증가,가격 15% 증가,o,GOTCHA93,2000,,8000,1100,78,GOTCHA108
FOOD15,아메리카노,모던,진한 커피향과 깔끔한 맛이 돋보이는 대표 커피 음료,가격 10% 증가,가격 15% 증가,x,,2350,,9000,1300,90,
FOOD16,김치 볶음밥,빈티지,매콤한 김치로 볶아낸 한국식 볶음밥의 정석,가격 10% 증가,가격 15% 증가,o,GOTCHA94,2900,,9500,1350,102,GOTCHA107
FOOD17,딸기 탕후루,트로피컬,달콤한 설탕 옷을 입힌 딸기의 바삭하고 달콤한 맛,가격 10% 증가,가격 15% 증가,x,,3630,,10000,1400,114,
FOOD18,토마토 파스타,모던,상큼한 토마토 소스가 듬뿍 들어간 정통 이탈리아식 파스타,가격 10% 증가,가격 15% 증가,x,GOTCHA95,4500,,15000,1600,126,GOTCHA106
FOOD19,컵라면,빈티지,빠르고 간편하게 즐길 수 있는 누구나 사랑하는 라면,가격 10% 증가,가격 15% 증가,x,,6750,,20000,1700,138,
FOOD20,망고 빙수,트로피컬,달콤한 망고가 듬뿍 올라간 시원한 여름 디저트,가격 10% 증가,가격 15% 증가,x,,8300,,30000,2300,150,
FOOD21,먹물 파스타,럭셔리,오징어 먹물로 맛과 비주얼을 모두 잡은 특별한 파스타,가격 10% 증가,가격 15% 증가,x,GOTCHA96,10000,,35000,2400,162,GOTCHA110
FOOD22,과일 푸딩,코지,상큼한 과일이 가득 들어간 부드럽고 달콤한 푸딩,가격 10% 증가,가격 15% 증가,x,,11850,,40000,2500,180,
