ID,이름,속성,속성id,평점 증가,수입 증가(계산대로 축적)1분마다,해제 최소 평점,구매 수단,가격,배치 층
WINDOW01,노란 커튼 창문,내추럴,KITCHEN01,5,5,0,코인,6000,1층
WINDOW02,마운틴 뷰 창문,모던,KITCHEN02,10,10,110,코인,17000,1층
WINDOW03,숲 속 창문,빈티지,KITCHEN03,20,20,230,코인,45000,1층
WINDOW04,화려한 둥근 창문,전통적,KITCHEN04,40,30,520,코인,100000,1층
WINDOW05,포레스트 창문,모던,KITCHEN02,70,50,750,코인,200000,1층
WINDOW06,과일 나무 창문,전통적,KITCHEN04,120,75,1100,코인,300000,1층
WINDOW07,솔바람 창,전통적,KITCHEN04,170,100,1900,코인,400000,1층
WINDOW08,더블 뷰 창문,모던,KITCHEN02,300,175,3600,코인,700000,1층
WINDOW09,햇살 통 창문,빈티지,KITCHEN03,540,295,7200,코인,1180000,1층
WINDOW10,해변가의 창문,트로피컬,KITCHEN05,130,30,0,다이아,30,2층
WINDOW11,석양 지는 창문,럭셔리,KITCHEN06,180,50,0,다이아,40,2층
WINDOW12,봄의 창문,코지,KITCHEN07,330,198,4100,코인,790000,1층
WINDOW13,사파리 미니 창문,내추럴,KITCHEN01,450,78,0,다이아,310,2층
WINDOW14,숲의 행운 창문,내추럴,KITCHEN01,450,80,0,다이아,320,2층
WINDOW15,모던 뮤지엄 창문,모던,KITCHEN02,280,55,0,다이아,220,2층
WINDOW16,달 기지 창문,모던,KITCHEN02,730,178,0,다이아,710,2층
WINDOW17,기어 윈도우,빈티지,KITCHEN03,570,140,0,다이아,560,2층
WINDOW18,아케이드 스타,빈티지,KITCHEN03,550,130,0,다이아,520,2층
WINDOW19,잊혀진 기억,전통적,KITCHEN04,730,178,0,다이아,710,2층
WINDOW20,드림 캐쳐 창문,전통적,KITCHEN04,550,130,0,다이아,520,2층
WINDOW21,타륜 창문,트로피컬,KITCHEN05,550,130,0,다이아,520,2층
WINDOW22,바닷 속 풍경,트로피컬,KITCHEN05,550,130,0,다이아,520,2층
WINDOW23,할로윈 나이트,럭셔리,KITCHEN06,730,178,0,다이아,710,2층
WINDOW24,마법사의 밤,럭셔리,KITCHEN06,680,168,0,다이아,670,2층
WINDOW25,토이 월드 창문,코지,KITCHEN07,730,178,0,다이아,710,2층
WINDOW26,구름 속 풍경,코지,KITCHEN07,390,115,0,다이아,460,2층
