ID,이름,속성,속성id,평점 증가,수입 증가 (계산대로 축적) 1분당,해제 최소 평점,구매 수단,가격,TYPE,TYPE ID,TYPE 개수,(첨삭)
ACC01,넝쿨빛 조명,내추럴,SET01,2,4,50,코인,6000,,,,
ACC02,스포트라이트 조명,모던,SET02,4,12,200,코인,15000,,,,
ACC03,번호표 전광판,빈티지,SET03,8,20,400,코인,45000,,,,
ACC04,연등거리 조명,전통적,SET04,16,30,1000,코인,100000,,,,
ACC05,덩굴 화분,내추럴,SET01,180,40,1800,코인,220000,,,,
ACC06,만등 조명,전통적,SET04,210,50,2500,코인,350000,,,,
ACC07,카페 조명,내추럴,SET01,250,65,3200,코인,450000,,,,
ACC08,리본 조명,빈티지,SET03,300,80,4000,코인,600000,,,,
ACC09,카페 트랙 조명,모던,SET02,350,95,5000,코인,700000,,,,
ACC10,실링팬 천장,모던,SET02,420,110,6500,코인,900000,,,,
ACC11,화이트 벤트,빈티지,SET03,480,125,8000,코인,1100000,,,,
ACC12,코코넛 조명,트로피컬,SET05,550,140,9500,코인,1300000,,,,
ACC13,호롱불 조명,전통적,SET03,630,155,11000,코인,1500000,,,,
ACC14,촛대 조명,럭셔리,SET06,720,170,13000,코인,1800000,,,,
ACC15,포근한 모빌 조명,코지,SET07,820,190,15000,코인,2100000,,,,
