ID,이름,속성,속성id,평점 증가,수입 증가 (계산대로 축적) 1분당,해제 최소 평점,구매 수단,가격
ACC01,넝쿨빛 조명,내추럴,SET01,2,4,50,코인,6000
ACC02,스포트라이트 조명,모던,SET02,4,12,200,코인,15000
ACC03,번호표 전광판,빈티지,SET03,8,20,400,코인,45000
ACC04,연등거리 조명,전통적,SET04,16,30,1000,코인,100000
ACC05,덩굴 화분,내추럴,SET01,180,40,1800,코인,220000
ACC06,만등 조명,전통적,SET04,210,50,2500,코인,350000
ACC07,카페 조명,내추럴,SET01,250,65,3200,코인,450000
ACC08,리본 조명,빈티지,SET03,300,80,4000,코인,600000
ACC09,카페 트랙 조명,모던,SET02,350,95,5000,코인,700000
ACC10,실링팬 천장,모던,SET02,420,110,6500,코인,900000
ACC11,화이트 벤트,빈티지,SET03,480,125,8000,코인,1100000
ACC12,코코넛 조명,트로피컬,SET05,0,70,0,다이아,40
ACC13,호롱불 조명,전통적,SET04,630,155,11000,코인,1500000
ACC14,촛대 조명,럭셔리,SET06,0,85,0,다이아,50
ACC15,포근한 모빌 조명,코지,SET07,0,95,0,다이아,60
ACC16,웨이브 패브릭,트로피컬,SET05,880,220,20000,코인,2800000
ACC17,캔들 샹들리에,럭셔리,SET06,1050,298,79000,코인,5350000
ACC18,그린라이트,코지,SET07,380,100,5850,코인,835000
ACC19,트로피컬 모빌,트로피컬,SET05,950,265,38000,코인,3500000
ACC20,사파리 모빌,내추럴,SET01,500,220,0,다이아,650
ACC21,밤의 작은 등불,내추럴,SET01,700,320,0,다이아,1000
ACC22,미니 인공위성,모던,SET02,500,220,0,다이아,750
ACC23,모던 모빌 라이트,모던,SET02,700,320,0,다이아,950
ACC24,피버 미러볼,빈티지,SET03,700,320,0,다이아,1050
ACC25,기어 파이프 라인,빈티지,SET03,500,220,0,다이아,850
ACC26,유적지의 석등,전통적,SET04,700,320,0,다이아,1200
ACC27,부족의 크리스탈,전통적,SET04,500,220,0,다이아,750
ACC28,선박 조명,트로피컬,SET05,500,220,0,다이아,950
ACC29,바닷 속 행진,트로피컬,SET05,700,320,0,다이아,1100
ACC30,고스트 할로윈,럭셔리,SET06,700,320,0,다이아,1200
ACC31,마법 강당 조명,럭셔리,SET06,500,220,0,다이아,1050
ACC32,천상의 조명,코지,SET07,700,320,0,다이아,1050
ACC33,토이 트레인 모빌,코지,SET07,500,220,0,다이아,950
